Prodotto_Shopify,Categoria_Padre,Sottocategoria,SKU,EAN,Prezzo_2026,Opzione_1_Nome,Opzione_1_Valore,Opzione_2_Nome,Opzione_2_Valore,Titolo_Originale_Listino
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KIT240ECO,8412081240831,1131.97,Misura,30,Spessore,30/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Filtro a sabbia da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 240 h 120
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KIT460QGRE,8412081319193,1214.37,Misura,30,Spessore,30/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Filtro Aqualoon da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 460 h 120
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KIT350QGRE,8412081319209,1111.37,Misura,30,Spessore,30/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Filtro Aqualoon da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 350 h 120
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KIT300QGRE,8412081307671,977.47,Misura,30,Spessore,30/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Filtro Aqualoon da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 300 h 120
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KITPR453,8412081209005,1234.97,Misura,30,Spessore,30/100,"KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Skimmer motorizzato a cartuccia da 3,8m³/h. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 460 h 120"
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KITPR353,8412081209012,1049.57,Misura,30,Spessore,30/100,"KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Skimmer motorizzato a cartuccia da 3,8m³/h. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 350 h 120"
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KITPR303,8412081233901,998.07,Misura,30,Spessore,30/100,"KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Skimmer motorizzato a cartuccia da 3,8m³/h. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 300 h 120"
Gre - BIANCA FORMA OTTO CON SISTEMA Blu Omega,Piscine,Piscine in acciaio,KITPROV6270,8412081211633,3284.67,Dettaglio,i. Tappeto. Dim: 640x390 h 120,,,KIT Piscina bianca a forma di otto con sistema omega. Parete in acciaio. Liner blu 40/100. Filtro a sabbia da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Tappeto. Dim: 640x390 h 120
Gre - BIANCA FORMA OTTO CON SISTEMA Blu Omega,Piscine,Piscine in acciaio,KITPROV4870,8412081231921,2832.5,Dettaglio,i. Tappeto. Dim: 500x340 h 120,,,KIT Piscina bianca a forma di otto con sistema omega. Parete in acciaio. Liner blu 40/100. Filtro a sabbia da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Tappeto. Dim: 500x340 h 120
Gre - OVALE INTERRATA CON PARETE ACCIAIO. Blu,Piscine,Piscine in acciaio,KPEOV8059,8412081269320,5036.7,Misura,75,Spessore,75/100,"KIT Piscina ovale interrata con parete in acciaio. Liner blu 75/100. Filtro a sabbia da 10m³/h. Scala inox 4 gradini, tappeto, skimmer americano, tubo e raccorderia. Dim: 800x400 h 150"
